scenario,policy,step_idx,cell_id,slice_id,kind,latency_ms,service_ratio,sla_met,isolated,suspicious,mission_critical,ai_enabled,deadline_missed
normal,static_qos,0,cell-west,cell-west:mission,mission_critical,3.1587,1.0,True,False,False,True,True,False
normal,static_qos,0,cell-west,cell-west:ai-edge,ai_edge,3.1587,1.0,True,False,False,False,True,False
normal,static_qos,0,cell-west,cell-west:broadband,broadband,3.7554,0.9298,True,False,False,False,False,False
normal,static_qos,0,cell-west,cell-west:background,background,3.1587,1.0,True,False,False,False,False,False
normal,static_qos,0,cell-central,cell-central:mission,mission_critical,3.1587,1.0,True,False,False,True,True,False
normal,static_qos,0,cell-central,cell-central:ai-edge,ai_edge,3.1587,1.0,True,False,False,False,True,False
normal,static_qos,0,cell-central,cell-central:broadband,broadband,6.3279,0.6272,False,False,False,False,False,False
normal,static_qos,0,cell-central,cell-central:background,background,3.7925,0.9254,True,False,False,False,False,False
normal,static_qos,0,cell-east,cell-east:mission,mission_critical,3.1587,1.0,True,False,False,True,True,False
normal,static_qos,0,cell-east,cell-east:ai-edge,ai_edge,3.1587,1.0,True,False,False,False,True,False
normal,static_qos,0,cell-east,cell-east:broadband,broadband,4.2487,0.8718,True,False,False,False,False,False
normal,static_qos,0,cell-east,cell-east:background,background,5.0307,0.7798,True,False,False,False,False,False
normal,static_qos,1,cell-west,cell-west:mission,mission_critical,3.056,1.0,True,False,False,True,True,False
normal,static_qos,1,cell-west,cell-west:ai-edge,ai_edge,3.056,1.0,True,False,False,False,True,False
normal,static_qos,1,cell-west,cell-west:broadband,broadband,5.411,0.7229,True,False,False,False,False,False
normal,static_qos,1,cell-west,cell-west:background,background,3.056,1.0,True,False,False,False,False,False
normal,static_qos,1,cell-central,cell-central:mission,mission_critical,3.056,1.0,True,False,False,True,True,False
normal,static_qos,1,cell-central,cell-central:ai-edge,ai_edge,3.056,1.0,True,False,False,False,True,False
normal,static_qos,1,cell-central,cell-central:broadband,broadband,6.2877,0.6198,False,False,False,False,False,False
normal,static_qos,1,cell-central,cell-central:background,background,3.8177,0.9104,True,False,False,False,False,False
normal,static_qos,1,cell-east,cell-east:mission,mission_critical,3.056,1.0,True,False,False,True,True,False
normal,static_qos,1,cell-east,cell-east:ai-edge,ai_edge,3.056,1.0,True,False,False,False,True,False
normal,static_qos,1,cell-east,cell-east:broadband,broadband,4.6154,0.8165,True,False,False,False,False,False
normal,static_qos,1,cell-east,cell-east:background,background,4.7304,0.803,True,False,False,False,False,False
normal,static_qos,2,cell-west,cell-west:mission,mission_critical,3.0426,1.0,True,False,False,True,True,False
normal,static_qos,2,cell-west,cell-west:ai-edge,ai_edge,3.0426,1.0,True,False,False,False,True,False
normal,static_qos,2,cell-west,cell-west:broadband,broadband,5.5531,0.7046,True,False,False,False,False,False
normal,static_qos,2,cell-west,cell-west:background,background,5.619,0.6969,True,False,False,False,False,False
normal,static_qos,2,cell-central,cell-central:mission,mission_critical,3.0426,1.0,True,False,False,True,True,False
normal,static_qos,2,cell-central,cell-central:ai-edge,ai_edge,3.0426,1.0,True,False,False,False,True,False
normal,static_qos,2,cell-central,cell-central:broadband,broadband,5.8371,0.6712,True,False,False,False,False,False
normal,static_qos,2,cell-central,cell-central:background,background,3.0426,1.0,True,False,False,False,False,False
normal,static_qos,2,cell-east,cell-east:mission,mission_critical,3.0426,1.0,True,False,False,True,True,False
normal,static_qos,2,cell-east,cell-east:ai-edge,ai_edge,3.0426,1.0,True,False,False,False,True,False
normal,static_qos,2,cell-east,cell-east:broadband,broadband,4.4832,0.8305,True,False,False,False,False,False
normal,static_qos,2,cell-east,cell-east:background,background,3.4394,0.9533,True,False,False,False,False,False
normal,static_qos,3,cell-west,cell-west:mission,mission_critical,3.0445,1.0,True,False,False,True,True,False
normal,static_qos,3,cell-west,cell-west:ai-edge,ai_edge,3.0445,1.0,True,False,False,False,True,False
normal,static_qos,3,cell-west,cell-west:broadband,broadband,4.4311,0.8369,True,False,False,False,False,False
normal,static_qos,3,cell-west,cell-west:background,background,3.811,0.9098,True,False,False,False,False,False
normal,static_qos,3,cell-central,cell-central:mission,mission_critical,3.0445,1.0,True,False,False,True,True,False
normal,static_qos,3,cell-central,cell-central:ai-edge,ai_edge,3.0445,1.0,True,False,False,False,True,False
normal,static_qos,3,cell-central,cell-central:broadband,broadband,6.118,0.6384,False,False,False,False,False,False
normal,static_qos,3,cell-central,cell-central:background,background,5.7964,0.6762,True,False,False,False,False,False
normal,static_qos,3,cell-east,cell-east:mission,mission_critical,3.0445,1.0,True,False,False,True,True,False
normal,static_qos,3,cell-east,cell-east:ai-edge,ai_edge,3.0445,1.0,True,False,False,False,True,False
normal,static_qos,3,cell-east,cell-east:broadband,broadband,4.0643,0.88,True,False,False,False,False,False
normal,static_qos,3,cell-east,cell-east:background,background,3.0445,1.0,True,False,False,False,False,False
normal,static_qos,4,cell-west,cell-west:mission,mission_critical,3.0445,1.0,True,False,False,True,True,False
normal,static_qos,4,cell-west,cell-west:ai-edge,ai_edge,3.0445,1.0,True,False,False,False,True,False
normal,static_qos,4,cell-west,cell-west:broadband,broadband,4.3945,0.8412,True,False,False,False,False,False
normal,static_qos,4,cell-west,cell-west:background,background,3.4759,0.9492,True,False,False,False,False,False
normal,static_qos,4,cell-central,cell-central:mission,mission_critical,3.0445,1.0,True,False,False,True,True,False
normal,static_qos,4,cell-central,cell-central:ai-edge,ai_edge,3.0445,1.0,True,False,False,False,True,False
normal,static_qos,4,cell-central,cell-central:broadband,broadband,4.4381,0.836,True,False,False,False,False,False
normal,static_qos,4,cell-central,cell-central:background,background,3.0445,1.0,True,False,False,False,False,False
normal,static_qos,4,cell-east,cell-east:mission,mission_critical,3.0445,1.0,True,False,False,True,True,False
normal,static_qos,4,cell-east,cell-east:ai-edge,ai_edge,3.0445,1.0,True,False,False,False,True,False
normal,static_qos,4,cell-east,cell-east:broadband,broadband,6.0438,0.6471,True,False,False,False,False,False
normal,static_qos,4,cell-east,cell-east:background,background,3.0445,1.0,True,False,False,False,False,False
normal,static_qos,5,cell-west,cell-west:mission,mission_critical,3.1568,1.0,True,False,False,True,True,False
normal,static_qos,5,cell-west,cell-west:ai-edge,ai_edge,3.1568,1.0,True,False,False,False,True,False
normal,static_qos,5,cell-west,cell-west:broadband,broadband,6.3976,0.6187,False,False,False,False,False,False
normal,static_qos,5,cell-west,cell-west:background,background,5.6782,0.7034,True,False,False,False,False,False
normal,static_qos,5,cell-central,cell-central:mission,mission_critical,3.1568,1.0,True,False,False,True,True,False
normal,static_qos,5,cell-central,cell-central:ai-edge,ai_edge,3.1568,1.0,True,False,False,False,True,False
normal,static_qos,5,cell-central,cell-central:broadband,broadband,4.531,0.8383,True,False,False,False,False,False
normal,static_qos,5,cell-central,cell-central:background,background,6.1626,0.6464,True,False,False,False,False,False
normal,static_qos,5,cell-east,cell-east:mission,mission_critical,3.1568,1.0,True,False,False,True,True,False
normal,static_qos,5,cell-east,cell-east:ai-edge,ai_edge,3.1568,1.0,True,False,False,False,True,False
normal,static_qos,5,cell-east,cell-east:broadband,broadband,4.3348,0.8614,True,False,False,False,False,False
normal,static_qos,5,cell-east,cell-east:background,background,5.9911,0.6666,True,False,False,False,False,False
normal,static_qos,6,cell-west,cell-west:mission,mission_critical,3.0522,1.0,True,False,False,True,True,False
normal,static_qos,6,cell-west,cell-west:ai-edge,ai_edge,3.0522,1.0,True,False,False,False,True,False
normal,static_qos,6,cell-west,cell-west:broadband,broadband,5.806,0.676,True,False,False,False,False,False
normal,static_qos,6,cell-west,cell-west:background,background,3.0522,1.0,True,False,False,False,False,False
normal,static_qos,6,cell-central,cell-central:mission,mission_critical,3.0522,1.0,True,False,False,True,True,False
normal,static_qos,6,cell-central,cell-central:ai-edge,ai_edge,3.0522,1.0,True,False,False,False,True,False
normal,static_qos,6,cell-central,cell-central:broadband,broadband,4.1015,0.8766,True,False,False,False,False,False
normal,static_qos,6,cell-central,cell-central:background,background,3.0522,1.0,True,False,False,False,False,False
normal,static_qos,6,cell-east,cell-east:mission,mission_critical,3.0522,1.0,True,False,False,True,True,False
normal,static_qos,6,cell-east,cell-east:ai-edge,ai_edge,3.0522,1.0,True,False,False,False,True,False
normal,static_qos,6,cell-east,cell-east:broadband,broadband,3.9498,0.8944,True,False,False,False,False,False
normal,static_qos,6,cell-east,cell-east:background,background,6.1002,0.6414,True,False,False,False,False,False
normal,static_qos,7,cell-west,cell-west:mission,mission_critical,3.0483,1.0,True,False,False,True,True,False
normal,static_qos,7,cell-west,cell-west:ai-edge,ai_edge,3.0483,1.0,True,False,False,False,True,False
normal,static_qos,7,cell-west,cell-west:broadband,broadband,4.5384,0.8247,True,False,False,False,False,False
normal,static_qos,7,cell-west,cell-west:background,background,4.6863,0.8073,True,False,False,False,False,False
normal,static_qos,7,cell-central,cell-central:mission,mission_critical,3.0483,1.0,True,False,False,True,True,False
normal,static_qos,7,cell-central,cell-central:ai-edge,ai_edge,3.0483,1.0,True,False,False,False,True,False
normal,static_qos,7,cell-central,cell-central:broadband,broadband,4.944,0.777,True,False,False,False,False,False
normal,static_qos,7,cell-central,cell-central:background,background,4.2712,0.8561,True,False,False,False,False,False
normal,static_qos,7,cell-east,cell-east:mission,mission_critical,3.0483,1.0,True,False,False,True,True,False
normal,static_qos,7,cell-east,cell-east:ai-edge,ai_edge,3.0483,1.0,True,False,False,False,True,False
normal,static_qos,7,cell-east,cell-east:broadband,broadband,5.0985,0.7588,True,False,False,False,False,False
normal,static_qos,7,cell-east,cell-east:background,background,4.5451,0.8239,True,False,False,False,False,False
normal,static_qos,8,cell-west,cell-west:mission,mission_critical,3.0522,1.0,True,False,False,True,True,False
normal,static_qos,8,cell-west,cell-west:ai-edge,ai_edge,3.0522,1.0,True,False,False,False,True,False
normal,static_qos,8,cell-west,cell-west:broadband,broadband,5.8557,0.6702,True,False,False,False,False,False
normal,static_qos,8,cell-west,cell-west:background,background,4.5741,0.8209,True,False,False,False,False,False
normal,static_qos,8,cell-central,cell-central:mission,mission_critical,3.0522,1.0,True,False,False,True,True,False
normal,static_qos,8,cell-central,cell-central:ai-edge,ai_edge,3.0522,1.0,True,False,False,False,True,False
normal,static_qos,8,cell-central,cell-central:broadband,broadband,5.2687,0.7392,True,False,False,False,False,False
normal,static_qos,8,cell-central,cell-central:background,background,6.0132,0.6516,True,False,False,False,False,False
normal,static_qos,8,cell-east,cell-east:mission,mission_critical,3.0522,1.0,True,False,False,True,True,False
normal,static_qos,8,cell-east,cell-east:ai-edge,ai_edge,3.0522,1.0,True,False,False,False,True,False
normal,static_qos,8,cell-east,cell-east:broadband,broadband,3.9125,0.8988,True,False,False,False,False,False
normal,static_qos,8,cell-east,cell-east:background,background,3.0522,1.0,True,False,False,False,False,False
normal,static_qos,9,cell-west,cell-west:mission,mission_critical,3.0579,1.0,True,False,False,True,True,False
normal,static_qos,9,cell-west,cell-west:ai-edge,ai_edge,3.0579,1.0,True,False,False,False,True,False
normal,static_qos,9,cell-west,cell-west:broadband,broadband,4.0028,0.8888,True,False,False,False,False,False
normal,static_qos,9,cell-west,cell-west:background,background,6.0962,0.6426,True,False,False,False,False,False
normal,static_qos,9,cell-central,cell-central:mission,mission_critical,3.0579,1.0,True,False,False,True,True,False
normal,static_qos,9,cell-central,cell-central:ai-edge,ai_edge,3.0579,1.0,True,False,False,False,True,False
normal,static_qos,9,cell-central,cell-central:broadband,broadband,5.2261,0.7449,True,False,False,False,False,False
normal,static_qos,9,cell-central,cell-central:background,background,3.0579,1.0,True,False,False,False,False,False
normal,static_qos,9,cell-east,cell-east:mission,mission_critical,3.0579,1.0,True,False,False,True,True,False
normal,static_qos,9,cell-east,cell-east:ai-edge,ai_edge,3.0579,1.0,True,False,False,False,True,False
normal,static_qos,9,cell-east,cell-east:broadband,broadband,5.2169,0.746,True,False,False,False,False,False
normal,static_qos,9,cell-east,cell-east:background,background,6.147,0.6366,False,False,False,False,False,False
normal,static_qos,10,cell-west,cell-west:mission,mission_critical,3.1741,1.0,True,False,False,True,True,False
normal,static_qos,10,cell-west,cell-west:ai-edge,ai_edge,3.1741,1.0,True,False,False,False,True,False
normal,static_qos,10,cell-west,cell-west:broadband,broadband,5.0746,0.7764,True,False,False,False,False,False
normal,static_qos,10,cell-west,cell-west:background,background,5.7403,0.6981,True,False,False,False,False,False
normal,static_qos,10,cell-central,cell-central:mission,mission_critical,3.1741,1.0,True,False,False,True,True,False
normal,static_qos,10,cell-central,cell-central:ai-edge,ai_edge,3.1741,1.0,True,False,False,False,True,False
normal,static_qos,10,cell-central,cell-central:broadband,broadband,5.0837,0.7753,True,False,False,False,False,False
normal,static_qos,10,cell-central,cell-central:background,background,6.1256,0.6528,True,False,False,False,False,False
normal,static_qos,10,cell-east,cell-east:mission,mission_critical,3.1741,1.0,True,False,False,True,True,False
normal,static_qos,10,cell-east,cell-east:ai-edge,ai_edge,3.1741,1.0,True,False,False,False,True,False
normal,static_qos,10,cell-east,cell-east:broadband,broadband,5.4437,0.733,True,False,False,False,False,False
normal,static_qos,10,cell-east,cell-east:background,background,3.1741,1.0,True,False,False,False,False,False
normal,static_qos,11,cell-west,cell-west:mission,mission_critical,3.0637,1.0,True,False,False,True,True,False
normal,static_qos,11,cell-west,cell-west:ai-edge,ai_edge,3.0637,1.0,True,False,False,False,True,False
normal,static_qos,11,cell-west,cell-west:broadband,broadband,4.5941,0.82,True,False,False,False,False,False
normal,static_qos,11,cell-west,cell-west:background,background,3.0637,1.0,True,False,False,False,False,False
normal,static_qos,11,cell-central,cell-central:mission,mission_critical,3.0637,1.0,True,False,False,True,True,False
normal,static_qos,11,cell-central,cell-central:ai-edge,ai_edge,3.0898,0.9969,True,False,False,False,True,False
normal,static_qos,11,cell-central,cell-central:broadband,broadband,4.1864,0.8679,True,False,False,False,False,False
normal,static_qos,11,cell-central,cell-central:background,background,6.004,0.6541,True,False,False,False,False,False
normal,static_qos,11,cell-east,cell-east:mission,mission_critical,3.0637,1.0,True,False,False,True,True,False
normal,static_qos,11,cell-east,cell-east:ai-edge,ai_edge,3.0637,1.0,True,False,False,False,True,False
normal,static_qos,11,cell-east,cell-east:broadband,broadband,6.2997,0.6193,False,False,False,False,False,False
normal,static_qos,11,cell-east,cell-east:background,background,5.6755,0.6927,True,False,False,False,False,False
normal,static_qos,12,cell-west,cell-west:mission,mission_critical,3.0502,1.0,True,False,False,True,True,False
normal,static_qos,12,cell-west,cell-west:ai-edge,ai_edge,3.0502,1.0,True,False,False,False,True,False
normal,static_qos,12,cell-west,cell-west:broadband,broadband,4.412,0.8398,True,False,False,False,False,False
normal,static_qos,12,cell-west,cell-west:background,background,3.0502,1.0,True,False,False,False,False,False
normal,static_qos,12,cell-central,cell-central:mission,mission_critical,3.0502,1.0,True,False,False,True,True,False
normal,static_qos,12,cell-central,cell-central:ai-edge,ai_edge,3.0502,1.0,True,False,False,False,True,False
normal,static_qos,12,cell-central,cell-central:broadband,broadband,5.0205,0.7682,True,False,False,False,False,False
normal,static_qos,12,cell-central,cell-central:background,background,6.0716,0.6445,True,False,False,False,False,False
normal,static_qos,12,cell-east,cell-east:mission,mission_critical,3.0502,1.0,True,False,False,True,True,False
normal,static_qos,12,cell-east,cell-east:ai-edge,ai_edge,3.0502,1.0,True,False,False,False,True,False
normal,static_qos,12,cell-east,cell-east:broadband,broadband,5.1037,0.7584,True,False,False,False,False,False
normal,static_qos,12,cell-east,cell-east:background,background,3.0502,1.0,True,False,False,False,False,False
normal,static_qos,13,cell-west,cell-west:mission,mission_critical,3.0656,1.0,True,False,False,True,True,False
normal,static_qos,13,cell-west,cell-west:ai-edge,ai_edge,3.0656,1.0,True,False,False,False,True,False
normal,static_qos,13,cell-west,cell-west:broadband,broadband,4.3467,0.8493,True,False,False,False,False,False
normal,static_qos,13,cell-west,cell-west:background,background,4.4287,0.8396,True,False,False,False,False,False
