scenario,policy,step_idx,controller_queue,controller_latency_ms,attack_leakage_rate,critical_slice_survival_rate,ai_deadline_miss_rate,overall_sla_rate
normal,static_qos,0,0,4.492,0.0,1.0,0.0,0.9167
normal,static_qos,1,0,4.6,0.0,1.0,0.0,0.9167
normal,static_qos,2,0,4.516,0.0,1.0,0.0,1.0
normal,static_qos,3,0,4.528,0.0,1.0,0.0,0.9167
normal,static_qos,4,0,4.528,0.0,1.0,0.0,1.0
normal,static_qos,5,0,4.48,0.0,1.0,0.0,0.9167
normal,static_qos,6,0,4.576,0.0,1.0,0.0,1.0
normal,static_qos,7,0,4.552,0.0,1.0,0.0,1.0
normal,static_qos,8,0,4.576,0.0,1.0,0.0,1.0
normal,static_qos,9,0,4.612,0.0,1.0,0.0,0.9167
normal,static_qos,10,0,4.588,0.0,1.0,0.0,1.0
normal,static_qos,11,0,4.648,0.0,1.0,0.0,0.9167
normal,static_qos,12,0,4.564,0.0,1.0,0.0,1.0
normal,static_qos,13,0,4.66,0.0,1.0,0.0,1.0
normal,static_qos,14,0,4.648,0.0,1.0,0.0,1.0
normal,static_qos,15,0,4.648,0.0,1.0,0.0,1.0
normal,static_qos,16,0,4.696,0.0,1.0,0.0,0.9167
normal,static_qos,17,0,4.672,0.0,1.0,0.0,0.8333
normal,throughput_first,0,0,4.492,0.0,1.0,0.0,0.8333
normal,throughput_first,1,0,4.6,0.0,1.0,0.0,0.75
normal,throughput_first,2,0,4.516,0.0,1.0,0.0,0.75
normal,throughput_first,3,0,4.528,0.0,1.0,0.0,0.75
normal,throughput_first,4,0,4.528,0.0,1.0,0.0,0.75
normal,throughput_first,5,0,4.48,0.0,1.0,0.0,0.75
normal,throughput_first,6,0,4.576,0.0,1.0,0.0,0.75
normal,throughput_first,7,0,4.552,0.0,1.0,0.0,0.75
normal,throughput_first,8,0,4.576,0.0,1.0,0.0,0.75
normal,throughput_first,9,0,4.612,0.0,1.0,0.0,0.75
normal,throughput_first,10,0,4.588,0.0,1.0,0.0,0.75
normal,throughput_first,11,0,4.648,0.0,1.0,0.0,0.75
normal,throughput_first,12,0,4.564,0.0,1.0,0.0,0.75
normal,throughput_first,13,0,4.66,0.0,1.0,0.0,0.75
normal,throughput_first,14,0,4.648,0.0,1.0,0.0,0.75
normal,throughput_first,15,0,4.648,0.0,1.0,0.0,0.75
normal,throughput_first,16,0,4.696,0.0,1.0,0.0,0.75
normal,throughput_first,17,0,4.672,0.0,1.0,0.0,0.75
normal,security_only,0,0,4.492,0.0,1.0,0.0,0.9167
normal,security_only,1,0,4.6,0.0,1.0,0.0,0.75
normal,security_only,2,0,4.516,0.0,1.0,0.0,0.75
normal,security_only,3,0,4.528,0.0,1.0,0.0,0.8333
normal,security_only,4,0,4.528,0.0,1.0,0.0,0.9167
normal,security_only,5,0,4.48,0.0,1.0,0.0,0.6667
normal,security_only,6,0,4.576,0.0,1.0,0.0,0.8333
normal,security_only,7,0,4.552,0.0,1.0,0.0,0.75
normal,security_only,8,0,4.576,0.0,1.0,0.0,0.75
normal,security_only,9,0,4.612,0.0,1.0,0.0,0.6667
normal,security_only,10,0,4.588,0.0,1.0,0.0,0.5833
normal,security_only,11,0,4.648,0.0,1.0,0.0,0.6667
normal,security_only,12,0,4.564,0.0,1.0,0.0,0.75
normal,security_only,13,0,4.66,0.0,1.0,0.0,0.75
normal,security_only,14,0,4.648,0.0,1.0,0.0,0.8333
normal,security_only,15,0,4.648,0.0,1.0,0.0,0.6667
normal,security_only,16,0,4.696,0.0,1.0,0.0,0.5833
normal,security_only,17,0,4.672,0.0,1.0,0.0,0.75
normal,failure_aware,0,0,4.492,0.0,1.0,0.0,0.9167
normal,failure_aware,1,0,4.6,0.0,1.0,0.0,0.9167
normal,failure_aware,2,0,4.516,0.0,1.0,0.0,0.8333
normal,failure_aware,3,0,4.528,0.0,1.0,0.0,0.8333
normal,failure_aware,4,0,4.528,0.0,1.0,0.0,0.9167
normal,failure_aware,5,0,4.48,0.0,1.0,0.0,0.75
